Topics,Title,Description,Titles
Other Movies,Echo Valley Release Date Rumors: When Is It Coming Out?,"Directed by Michael Pearce, Echo Valley is an upcoming thriller film set to stream on Apple TV Plus. The plot revolves around Kate Garrett, a horse trainer and farm owner in southern Pennsylvania, navigating the aftermath of a personal tragedy. When her daugh…",
Other Movies,"No Intermission, No Problem: Why Theaters Aren’t Sweating Longer Blockbusters",It’s not just your imagination — Hollywood tentpoles are getting longer. Whether it’s awards contenders like the three-and-a-half-hour “Killers of the Flower Moon” (206 minutes) or popcorn flicks like the upcoming nearly three-hour “The Hunger Games: The Ball…,
Actors,Robert De Niro’s company found liable in gender discrimination lawsuit filed by former assistant,By LARRY NEUMEISTER (Associated Press) NEW YORK (AP) — A jury has ordered Robert De Niro’s company to pay more than $1.2 million to his former personal assistant after finding his production company engaged in gender discrimination and retaliation. While the …,
Themes Covered,The Current Debate: “Killers of the Flower Moon” and the Pain of Perspective,,
Other Movies,Horror film leads 'Priscilla' at US box office,"Universal's Halloween season release ""Five Nights at Freddy's"" remained in first place at the North American box office, beating out the awards-tilted biopic on Elvis Presley's wife ""Priscilla,"" estimates showed on Nov. 5.",
Actors,Robert De Niro’s company found liable in former assistant's gender discrimination lawsuit,A jury has ordered Robert De Niro’s company to pay more than $1.2 million to his former personal assistant after finding his production company engaged in gender discrimination and retaliation.,
Scorsese,Martin Scorsese Plays The Movie Bracket Challenge In New TikTok (& An Absolute Classic Wins),"Octogenarian auteur and certified cinephile Martin Scorsese participates in the TikTok movie bracket challenge, and a classic film wins his bracket.",
Actors,Robert De Niro’s company must pay more than $1.2 million to an ex-personal assistant who won her gender discrimination lawsuit,"The actor agreed he had asked her to scratch his back on at least two occasions, dismissing a question about it with: “Ok, twice? You got me!”",
Actors,Jury Awards $1.2 Million To Robert De Niro’s Former Assistant In Gender Discrimination Lawsuit,A jury says Robert De Niro’s company should pay his former personal assistant after finding his production company engaged in gender discrimination and retaliation.,
Scorsese,10 Longest Martin Scorsese Movies (Including Killers Of The Flower Moon),"Along with his talent, Martin Scorsese is known for his epic narratives that run past the standard 90 minutes. But which of his films are the longest?",
Production,How Robbie Robertson Avoided “Movie Music” In His Score For ‘Killers Of The Flower Moon’ – Sound & Screen Film,"Scoring Killers of the Flower Moon was a daunting prospect for Robbie Robertson. The Band co-founder, who died in August at 80, had a vision he wanted to achieve but was “terrified of delivering something ordinary,” explained orchestrator-conductor Mark Graha…",
Scorsese,Steven Spielberg Interviewed Martin Scorsese after a DGA screening,"Steven Spielberg and Martin Scorsese sat down for a chat after a DGA screening of 'Killers of the Flower Moon' pic.twitter.com/R3SIAEMKJj — The Hollywood Reporter (@THR) November 15, 2023 - Flowers of the Killer Moon was screened at the DGA. - Spielberg and …",
Scorsese,Martin Scorsese and ‘Killers of the Flower Moon’ Cast to Receive Palm Palm Springs Vanguard Award,The honor is given in recognition of an “exceptional film project” The post Martin Scorsese and ‘Killers of the Flower Moon’ Cast to Receive Palm Palm Springs Vanguard Award appeared first on TheWrap.,
Other Movies,Netflix reopens Hollywood’s ‘Egyptian’ movie palace,"The Egyptian Theatre, which hosted Hollywood’s first-ever red carpet premiere in its faux hieroglyph-adorned courtyard more than a century ago, reopens this week under the new ownership of Netflix. Steeped in silver screen lore, the venerable Los Angeles movi…",
Actors,Robert De Niro Discrimination Trial Goes To Jury: Here’s The Case They’ll Consider,"A civil jury in New York City is set to begin deliberating today whether Robert De Niro abused and discriminated against his longtime personal assistant, Graham Chase Robinson, and whether Robinson misused funds from the actor’s company, Canal, and stole offi…",
Actors,Earning Their Oscars: Highest Paid Actors and Net Worth Values,"Hollywood movie stars make some of the world’s biggest paychecks, with some actors earning significantly more than others. In 2022, several actors enjoyed lucrative paydays for their roles in highly anticipated films. Variety’s estimations revealed the top 10…",
Actors,De Niro's company ordered to pay $1.2m in gender discrimination lawsuit - but star not personally liable,"Robert De Niro's company has been ordered to pay more than $1.2m (£982,000) to his former personal assistant after it was found to have engaged in gender discrimination and retaliation - but a jury found the star was not personally liable for the abuse.",
Other Movies,"Marvel Taught Us That Movies Need to Be Events, but the MCU No Longer Qualifies","""The Marvels"" is a disaster while ""Priscilla"" and ""The Holdovers"" both stay strong. ""Dream Scenario"" and ""Tiger 3"" thrive in platform release.",
Themes Covered,Lily Gladstone shares her own message of support for Killers Of The Flower Moon audiences,"One of the most fascinating things about the public reception to Martin Scorsese’s latest, Killers Of The Flower Moon, has been the ways the people involved in making it—most notably, the Native people who Scorsese cast, consulted with, and otherwise worked w…",
Production,How Robbie Robertson Avoided “Movie Music” In His Score For ‘Killers Of The Flower Moon’,"Scoring Killers of the Flower Moon was a daunting prospect for Robbie Robertson. The Band co-founder, who died in August at 80, had a vision he wanted to achieve but was “terrified of delivering something ordinary,” explained orchestrator-conductor Mark Graha…",
Movie Review,‘Killers Of The Flower Moon Set To Receive Palm Springs International Film Festival’s Vanguard Award,"With the SAG strike behind us, the all-important film festivals that occur right in the heart of awards season are starting to take shape. A key stop is always the Palm Springs International Film Festival gala, which has just announced its first award, the Va…",
Financial Performance,"'Napoleon' is a hit with the box office, but not so much with critics","Ridley Scott and David Scarpa's ""Napoleon"" for Apple TV+ has been praised as a masterpiece and mocked as a joke, but its early Thanksgiving opening saw it beat ""Killers of the Flower Moon"" at the box office.Image Credit: Apple""Napoleon"" has just begun its the…",
Scorsese,Martin Scorsese Hilariously Admits He’s ‘Tricked Into’ Making TikToks With Daughter Francesca,"“I didn’t know those things go viral,” the iconic filmmaker said.",
Themes Covered,Martin Scorsese explains [REDACTED]’s Killers Of The Flower Moon cameo,"""I was taken by the impact of the realization that all of this is reduced to a half-hour piece of entertainment""",
Scorsese,Martin Scorsese Honors Robbie Robertson’s Legacy with Tribute Concert: The Musician ‘Broke Barriers’,"The late The Band guitarist and the auteur collaborated on films like ""Raging Bull,"" ""The Wolf of Wall Street,"" and ""Killers of the Flower Moon.""",
Financial Performance,May the weekend box office be ever in The Ballad Of Songbirds And Snakes’ favor,"After a couple of slow weekends at the domestic box office, things have bounced back nicely thanks to four pretty big new releases that mostly did okay (and one movie with a limited rollout that did relatively good). The biggest of those big new releases is H…",
Scorsese,Leonardo DiCaprio Calls Martin Scorsese a ‘National Treasure’ and His ‘Cinematic Father Figure’,"""He's still continuing to make daring, independent films even though they're massive in budget,"" DiCaprio said of his longtime collaborator behind ""Killers of the Flower Moon.""",
Scorsese,Ridley Scott Points Out He’s Made Four Films Since Martin Scorsese Started ‘Killers of the Flower Moon’,"""I get up in the morning and say, 'Ah great! Another day of stress,'"" the ""Napoleon"" director said.",
Production,‘Killers Of The Flower Moon’ Costume Team On Committing To Authentic Depiction Of Osage Nation – Contenders Film L.A.,"“The day of using Gunsmoke and Bonanza portraying us is over. We have a voice, and we use it,” said Julia O’Keefe, the Osage Nation costume consultant for Apple Original Films’ Killers of the Flower Moon. During the panel for the Martin Scorsese-directed movi…",
Scorsese,Martin Scorsese's TikTok Stardom Was Accidental: 'I Was Tricked Into That',"Martin Scorsese, famed film maker behind Taxi Driver, Killers of the Flower Moon, The Wolf of Wall Street, and so many more, is now, accidentally, a TikTok star. ""I was tricked into that,"" he said.",
Financial Performance,Can Apple's Napoleon Bring Ridley Scott And Joaquin Phoenix Box Office Glory?,Can Ridley Scott&amp;#39;s Napoleon conquer the box office when it opens over the Thanksgiving holiday? Or will it suffer an epic defeat?,
Movie Review,“Killers Of The Flower Moon” Is A Brilliant Study On The Power Of Narrative,"I don't usually review movies, but Martin Scorsese's Killers of the Flower Moon is a perfect film for audiences to take in this National American Indian Heritage Month.",
Financial Performance,Apple’s ‘Napoleon’ Sets Thanksgiving Global Box Office Battle Plan Via Sony With $46M WW Start – Preview,"EXCLUSIVE: Getting a leg-up here on our Thanksgiving stretch preview, Apple Studios production of Ridley Scott’s Napoleon will invade the global box office via Sony this Wednesday, in what’s shaping up to be a $46M WW global start. Split up for the Wednesday-…",
Financial Performance,"‘Napoleon’ Conquers Tuesday Thanksgiving Previews With $3M, ‘Wish’ $2.3M; ‘Hunger Games’ Wins Day With $6.5M – Box Office",Refresh for updates Apple Original Productions Ridley Scott Napoleon won $3M in Tuesday night previews while Disney’s Wish took in $2.3M. Both fired off at 3PM yesterday. That’s an impressive number for Napoleon given the war epic movie that it is: it’s right…,
Movie Review,What Did Steven Spielberg Have to Say About 'Killers of the Flower Moon'?,"As the studios prepare to roll out their Academy Award campaigns, the major benefit we get as fans and filmmakers is the interviews. I love hearing the process behind how movies come together, and I love it when other famous filmmakers join in the conversatio…",
Actors,Brendan Fraser Lands First Major Post-Oscar Role with ‘Beef’ Director Hikari’s ‘Rental Family’,"Searchlight Pictures will start principal photography this spring in Japan on what is Fraser's first role since winning the Best Actor Oscar for ""The Whale.""",
Production,Martin Scorsese Breaks Down the Cinematography of ‘Killers of the Flower Moon’,"The legendary director and his longtime D.P., Rodrigo Prieto, reflect on the complex methods and fascinating inspirations behind five key scenes from Killers of the Flower Moon.",
Scorsese,Martin Scorsese and Steven Spielberg Are Exec Producing a ‘Cape Fear’ Series,"Nick Antosca (""Candy,"" ""The Act"") is creating the show that is currently fielding offers from several potential buyers.",
Scorsese,"Martin Scorsese Hosts Robbie Robertson Tribute Concert, With Jackson Browne and Others Paying Musical Homage","In honor of the late Robbie Robertson, whose “Killers of the Flower Moon” score was his final work, Martin Scorsese hosted a private tribute concert Wednesday in Los Angeles that had guests including Joni Mitchell, Leonardo DiCaprio and Lily Gladstone watchin…",
Movie Review,"""Not Bigger Than History"": Killers Of The Flower Moon Star Responds To Criticism Over Movie's Focus",Killers of the Flower Moon star Lily Gladstone responds to criticism over the film telling the Osage story through Ernest Burkhart's perspective.,
Movie Review,Martin Scorsese Details How Killers Of The Flower Moon Had A Very Different Opening Scene,Director Martin Scorsese details how Killers of the Flower Moon originally had a very different opening scene involving the Oklahoma land rush.,
Production,Martin Scorsese’s editor on the inside story of Killers of the Flower Moon,The director’s longtime editor Thelma Schoonmaker discusses his latest movie and the erotic power of Powell & Pressburger,
Other Movies,Napoleon Box Office Prediction: Will It Flop or Succeed?,"Joaquin Phoenix’s Napoleon hits the theaters soon, and fans wish to find out how it will perform at the box office. Will the latest Apple TV movie flop, or will it succeed? Here’s a prediction based on the current projections. How Much Money is Napoleon predi…",
Scorsese,John Woo Gives His Take On Superhero Films: “I Prefer Martin Scorsese’s Movies”,"John Woo is giving his take on superhero movies and making it clear he’s not in favor of the films coming out of Marvel and DC Studios. In a new interview, Woo was asked to weigh on about recent movies he’s liked and is asked for his thoughts on comic book-ba…",
Actors,Leonardo DiCaprio Reveals He Wants To Accomplish 'One More' Thing Before Turning 50,The “Killers of the Flower Moon” star spoke about his goal during an interview with “Good Morning America.”,
Actors,Leonardo DiCaprio Attends Robbie Robertson's Celebration of Life with 'Killers of the Flower Moon' Collaborators,"Leonardo DiCaprio shows his support at the Robbie Robertson: A Celebration of His Life And Music event held at The Village Studios on Wednesday (November 15) in Los Angeles. If you don’t know, Robbie passed away this past August at the age of 80. Robbie and M…",
Financial Performance,‘The Marvels’ Will Become the First MCU Title to Fall Short of $100 Million Domestic,"In happier box-office news, ""The Hunger Games: Ballad of Songbirds and Snakes"" opened well while ""Saltburn"" and ""Fallen Leaves"" had strong limited debuts.",
Unrelated,‘The Creator’ Gets Another Lease on Life: It’s the Top New Release Available on VOD,"Last week, David Fincher's ""The Killer"" was #1 on Netflix; now it's been replaced by ""Best. Christmas. Ever!""",
Actors,Brendan Fraser Finds In His First Major Role Post-Oscar Win With Searchlight’s ‘Rental Family’,"EXCLUSIVE: After taking his time in finding his next big role after winning this years best actor Oscar, Brendan Fraser looks to have zeroed in on that role as sources tell Deadline he is set to star in Searchlight’s Rental Family. Beef helmer Hikari will dir…",
Other Movies,How to Watch Napoleon – Release Date and Streaming Status,"Wondering how to watch Napoleon? We have all the information on the latest Ridley Scott movie, from showtimes to streaming status.",
Movie Review,White Empathy Gets You Only So Far in Killers of the Flower Moon,"Lily Gladstone gives a staggering performance as Mollie in ‘Killers of the Flower Moon,’ but Martin Scorsese’s script is too stuck at the pitch of awe to interrogate her humanity. White empathy gets you only so far.",
Actors,Rental Family: Brendan Fraser to Lead Searchlight’s Tokyo-Set Drama,"According to Deadline, Oscar winner Brendan Fraser has signed on for the leading role in Searchlight Pictures’ upcoming drama titled Rental Family, which hails from Beef director Hikari. This serves as Fraser’s first solo leading movie following his acclaimed…",
Other Movies,Will Napoleon’s Oscar Campaign End in Victory?,"Ridley Scott’s historical epic ‘Napoleon’ charged into the Oscars race this week, with a surprise worthy of Austerlitz: the movie is funny. Will its awards campaign end in victory?",
Themes Covered,"Lily Gladstone on the lack of FBI scenes in ""Killers of the Flower Moon""",Lily Gladstone on why it’s best that #KillersOfTheFlowerMoon didn’t focus on a criminal investigation: “How unfortunate it would've been for audiences to walk away under the impression that the FBI are the saviors of Native women.” https://t.co/GEfGKNGZO6 pic…,
Actors,"Greta Gerwig, Lily Gladstone, Todd Haynes, ‘The Curse’ Creators to Be Celebrated at IndieWire Honors","The relaunch of IndieWire Honors also includes directors Cord Jefferson, Chad Stahelski, and Melina Matsoukas, creators Kelly Marcel and Lee Sung Jin, and actor Jharrel Jerome.",
Unrelated,The Story Behind the Internet Boyfriend Group Pic That Broke Stan Twitter,"Here's how that Paul Mescal, Andrew Scott, Matt Bomer, and Jonathan Bailey photo actually came together.",
Actors,"Leonardo DiCaprio Reacts to Rapping Video, Reveals His Range in Musical Taste as He Nears 50","Leonardo DiCaprio is speaking out about the video of him rapping at his recent 49th birthday party! The Killers of the Flower Moon star was having fun at his star-studded celebration last weekend, took the mic and started rapping. Now, in a new interview, Leo…",
Movie Review,The 2024 Oscars BuzzMeter is here to trumpet the contenders that will be and the ones that should be,Our BuzzMeter film experts are back to predict what contenders will get Oscar buzz and spotlight what they think deserves awards attention in 10 academy awards categories. Vote in the online polls!,
Movie Review,"'A great reckoning of our history': Leonardo DiCaprio talks Martin Scorsese's new film, Killers of The Flower Moon","Hollywood royalty Martin Scorsese, Leonardo DiCaprio and Robert De Niro team up with Lily Gladstone to bring to the big screen the true events that rocked the Osage Nation in 1920s Oklahoma.",
Scorsese,Cape Fear Series in the Works from Steven Spielberg and Martin Scorsese,"The filmmakers will serve as executive producers of the project from creator, executive producer, and showrunner Nick Antosca.
Cape Fear Series in the Works from Steven Spielberg and Martin Scorsese
Eddie Fu",
Movie Review,Contenders Film: Los Angeles Kicks Off Today Spotlighting 28 Awards-Season Movies,"Deadline’s Contenders Film: Los Angeles kicks off Saturday morning at 8:30 a.m. PT spotlighting 28 movies, with panel discussions featuring cast and creatives from this awards season’s most talked-about films, including actors scheduled to return to post-stri…",
Actors,Lily Gladstone’s Variety Cover is All Sleeves,"She's one of the Power of Women cover subjects.
The post Lily Gladstone’s Variety Cover is All Sleeves first appeared on Go Fug Yourself.",
Scorsese,"Here Comes the Sun: Martin Scorsese, Leonardo DiCaprio, Lily Gladstone and more","Director Martin Scorsese and actors Leonardo DiCaprio and Lily Gladstone sit down with Lee Cowan to discuss their new film, “Killers of the Flower Moon,” based on the book by David Grann. Then, Mo Rocca visits sunflower fields across the United States. “Here …",
Unrelated,‘Incredible Animal Journeys’ Will Have You Rooting for Dung Beetles,The new Nat Geo show captures footage that even scientists have never seen — including a heartbreaking sequence involving two whales.,
Movie Review,Spielberg calls Killers of the Flower Moon Scorsese’s “masterpiece”,"Steven Spielberg thinks Killers of the Flower Moon as topped Goodfellas as Martin Scorsese's true masterpiece.
The post Spielberg calls Killers of the Flower Moon Scorsese’s “masterpiece” appeared first on JoBlo.",
Financial Performance,Box Office Results: Hunger Games Prequel Rises to the Top as Marvels Sinks,"There are plenty of pros and cons at the box office this week. We’ll start with the good news. The Hunger Games prequel, The Ballad of Songbirds & Snakes, opened with a decent but not spectacular $44 million, enough to propel the Francis Lawrence-directed pic…",
Themes Covered,"At Last, Native American Playwrights Are Getting The Chance To Tell Their Peoples’ Own Stories","The financial crisis of 2008 hit Mary Kathryn Nagle differently. As a playwright and a citizen of the Cherokee Nation, she saw parallels to events that negatively impacted Indigenous people centuries ago. Nagle’s 2018 play “Manahatta” has landed in New York C…",
Movie Review,Steven Spielberg Shares His Glowing Review Of Martin Scorsese’s ‘Killers of the Flower Moon’,"You can count Steven Spielberg as a fan of Killers of the Flower Moon, to say the least. During a recent Q&A session at the DGA Theatre in Los Angeles following a screening of Killers of the Flower Moon, Spielberg showered his longtime friend and cinematic pe…",
Unrelated,How ‘Dr. Cheon And The Lost Talisman’ Became Kim Seong-Sik’s Debut Film,'Dr. Cheon and the Lost Talisman' is a mystery thriller entwined with elements of horror and fantasy.,
Unrelated,"In ‘May December’ & ‘Priscilla,’ Abuse Isn’t So Complicated","Photo Illustration by Luis G. Rendon/The Daily Beast/A24/Netflix
The best satires lampoon human behavior that isn’t that totally obvious to the people who exhibit it—or even the ones who think they understand it.For instance, while I enjoyed critically accla…",
Production,Editors on Editing w/ The Killers of the Flower Moon Editor: Thelma Schoonmaker,"Glenn Garland sits down with Thelma Schoonmaker, known for her extensive work with Martin Scorsese, to talk her latest collaboration with the legendary filmmaker, “The Killers of the Flower Moon.” Schoonmaker’s impressive career has seen her edit many celebra…",
Other Movies,"Ridley Scott: ""The French don’t even like themselves.”","Ridley Scott responds to negative comments from French critics about ‘NAPOLEON’.“The French don’t even like themselves.”(Source: https://t.co/zn0B44WwfK) pic.twitter.com/1KC9kF2SrZ
— DiscussingFilm (@DiscussingFilm) November 19, 2023 he has been on a roll du…",
Unrelated,2023 Indie Movies That Could Surprise Audiences,"The 2024’s award season has gone full steam ahead. Movies like Maestro, Oppenheimer, Barbie, and Killers of The Flower Moon lead the anticipation train. But ... Read More",
Production,‘Beyond the Screen: Killers of the Flower Moon’ Exhibit from Apple Original Films Opens,The exhibit features artifacts from the Apple Original film and celebrating the artisans who contributed to its making.,
Scorsese,Martin Scorsese Didn’t Know TikToks With His Daughter Could Go Viral,"“I honestly did not know she was going to post it. They use the words ‘post it,’ right?”",
Scorsese,Legendary Action Movie Director Sides With Scorsese On Superhero Movies Debate,"Martin Scorsese fanned the flames of the superhero movie genre debate when he claimed the MCU isn't cinema, and at yet another director agrees.",
Themes Covered,How the Publicity Campaign for Killers of the Flower Moon Recalls Rosebud Yellow Robe’s 1950 Hollywood Tour,"Here is Rosebud Yellow Robe, a confident, handsome gentlewoman in early middle-age, looking off to her right, apparently indifferent to her portraitist. She wears a loose elk-skin ceremonial dress with beaded figures of cavalrymen and warriors worked in on fi…",
Unrelated,"With Strikes Settled, Hollywood Dives Into An Uncertain Awards Season","Two strikes hobbled Hollywood well into traditional Oscar season. Now the industry, and awards telecasts, are trying to get back to normal amid uncertain futures.",
Actors,"HOT PHOTOS! Leonardo DiCaprio,Oprah & More attend 'Variety Women in Power' Event in LA, Eva Longoria & Helen Mirren at 'L'Oréal Paris Women of Worth' Celebration",Hot Photos — See What Your Fave Celebs Are Up To This Season,
Themes Covered,"Scorsese On Ambitious, Abandoned “Moon” Start","Martin Scorsese’s “Killers of the Flower Moon” opens with an Osage pipe ceremony ahead of showcasing the first discovery of oil on Osage land. It’s a relatively small and contained scene, but Scorsese and co-writer Eric Roth have revealed their initial plans …",
Actors,VARIETY’s 2023 Power of Women Awards Red Carpet Rundown,The Duchess of Sussex wasn’t the only powerful woman to strut down the Variety Power of Women party red carpet. Let’s assess some of the other notable ladylooks that made an appearance.   Carey Mulligan in Roland Mouret We believe we once noted that her publi…,
Other Movies,How To Watch Napoleon,Ridley Scott's movie Napoleon starring Joquin Phoenix releases in theaters before its eventual streaming release. Here is how and when to watch it.,
Other Movies,When is Napoleon coming to streaming?,The film is coming to Apple TV Plus,
Unrelated,The Most Exciting Thing About Horizon: An American Saga Is Not Kevin Costner’s Character,"While Kevin Costner will star and direct in Horizon: An American Saga, his character isn't the most exciting element of the two-part film.",
Other Movies,Napoleon captures $3 million in Thanksgiving Tuesday previews while Wish makes $2.3 million,"Ridley Scott's French epic is conquering IMAX screens and other premium theaters, but will it be enough to make it a hit?
The post Napoleon captures $3 million in Thanksgiving Tuesday previews while Wish makes $2.3 million appeared first on JoBlo.",
Actors,"Santa Barbara International Film Fest to Honor Lily Gladstone, Greta Lee, Charles Melton and Da’Vine Joy Randolph","The quartet's noteworthy film performances were selected for the annual event's 2023 Virtuosos Awards
The post Santa Barbara International Film Fest to Honor Lily Gladstone, Greta Lee, Charles Melton and Da’Vine Joy Randolph appeared first on TheWrap.",
Scorsese,"Director John Woo weighs in on the superhero movie debate: ""I prefer Martin Scorsese's movies""","""I like old-fashioned movies, you know? Real cinema""",
Actors,Leonardo DiCaprio and Girlfriend Vittoria Ceretti Are ‘In Love’ (Source),"Leonardo DiCaprio may have found The One in Vittoria Ceretti. “They are in love,” a source exclusively reveals in the latest issue of Us Weekly. “Leo was clearly very proud to be showing Vittoria off and letting everyone see how happy they are together.” DiCa…",
Actors,Brendan Fraser sets Rental Family as first post-Oscar lead,"Brendan Fraser will star in Family Rental as his first leading role after winning the Academy Award for The Whale.
The post Brendan Fraser sets Rental Family as first post-Oscar lead appeared first on JoBlo.",
Production,Martin Scorsese Dives Deep Into the Images of ‘Killers of the Flower Moon’,"Martin Scorsese and Rodrigo Prieto are still figuring out how everything came together for Killers of the Flower Moon. This much is clear as the longtime collaborators sit down together for an in-depth conversation about a handful of crucial, striking images …",
Unrelated,Why Cat Power covered the most infamous live album in rock history,Cat Power's new album re-creates the 1966 Bob Dylan concert in England that scandalized folk purists and marked a turning point for Dylan and for rock.,
Other Movies,Ridley Scott’s Napoleon: Accidentally a Comedy?,"Two centuries and change ago there lived a man who formulated the legal code that more than half the nations on earth still use today, who dissolved the millennium-old Holy Roman Empire and cleared the way for the unification of Germany and Italy, who sold ov…",
Other Movies,“Napoleon” Beats “Wish” In Box-Office Previews,Disney’s latest animated movie “Wish” and Sony’s Ridley Scott-directed historical drama “Napoleon” had previews last night ahead of their five-day Thanksgiving day holiday weekend releases that began today. The result is the French conqueror came out on top w…,
Movie Review,"Steven Spielberg Interviews Martin Scorsese, Hails ‘Killers of the Flower Moon’ as His “Masterpiece” (Exclusive Video)","In what is surely the highest-profile Q&A of this award season, and maybe any, Steven Spielberg posed questions to Martin Scorsese on Tuesday night following a packed screening of Scorsese’s Killers of the Flower Moon — a dynamic that one Academy member liken…",
Scorsese,Martin Scorsese Blames His Daughter For Tricking Him Into Becoming A TikTok Sensation,"There’s nothing stopping older members of the population from using TikTok, but The Youths have firmly conquered that realm. As a result, it’s pretty hard not to be entertained by Martin Scorsese’s ability to take the platform by storm, although he asserts hi…",
Other Movies,Apple's Napoleonic $200 million gamble,"Apple has coughed up another huge pile of cash to make &quot;Napoleon&quot;, the latest epic from director Ridley Scott that hits cinemas around the world next week, with Joaquin Phoenix donning the tricorn hat of the French emperor. The budget --  said to be…",
Production,‘Killers Of The Flower Moon’ Costume Team On Committing To Authentic Depiction Of Osage Nation,"“The day of using Gunsmoke and Bonanza portraying us is over. We have a voice, and we use it,” said Julia O’Keefe, the Osage Nation costume consultant for Apple Original Films‘ Killers of the Flower Moon. During the panel for the Martin Scorsese-directed movi…",
Scorsese,"“Cape Fear” Series From Nick Antosca, Steven Spielberg, Martin Scorsese To Take Unconventional Approach","In 1991, director Martin Scorsese remade 1962’s Cape Fear, based on the 1957 novel The Executioners by John D. MacDonald, for Steven Spielberg‘s Amblin Entertainment. It appears they’re returning to the IP: Deadline reports that Scorsese and Spielberg have te…",
Actors,Brendan Fraser To Lead “Rental Family”,"Oscar winner Brendan Fraser has signed on to star in the comedy-drama “Rental Family” for Searchlight Pictures. The project hails from “Beef” director Hikari who is also co-writing with Stephen Blahut, and produces Eddie Vaisman, Shin Yamaguchi and Julia Lebe…",
Movie Review,‘Killers of the Flower Moon’ to Receive Historical Icon and Creator Tribute at Gotham Awards (EXCLUSIVE),“Killers of the Flower Moon” will receive the Gotham Historical Icon and Creator Tribute at the 2023 Gotham Awards. The 33rd annual ceremony will take place on Monday at Cipriani Wall Street in New York City. The Historical Icon and Creator Tribute recognizes…,
Other Movies,"Spiders, Snakes, and Trolls: It’s a Very MFL Thanksgiving","‘The Hunger Games: The Ballad of Songbirds and Snakes’ has hit the box office to a soft opening. Plus, ‘The Holdovers’ is also available in theaters, ‘Thanksgiving’ gets a wide release, and the MFL gets its first ever mid-season bonus prize.",
Themes Covered,"Lily Gladstone Tears Up Describing the ‘Epidemic’ of Missing, Murdered Indigenous Women and Children and the Fight for Change","Lily Gladstone teared up giving a passionate speech honoring activists who work to protect Indigenous women at Variety’s Power of Woman event Thursday in Hollywood, presented by Lifetime. The “Killers of the Flower Moon” actor — who is one of Variety‘s honore…",
Unrelated,Jimmy Kimmel to host next year's Oscars,Jimmy Kimmel has been announced as the host of next year's Oscars.,
Production,‘Beyond the Screen: Killers of the Flower Moon’ Exhibit from Apple Original Films Opens to Public (EXCLUSIVE),"“Beyond the Screen: Killers of the Flower Moon,” an exhibit featuring artifacts from the Apple Original film and celebrating the artisans who contributed to its making, is open to the public this weekend from Nov. 17-19, and will reopen following the Thanksgi…",
Themes Covered,How settlers abused financial guardianship in the Osage Nation,"Every month, “Marketplace Morning Report” watches one film with economic or money themes as part of our Econ Extra Credit project. For November, we’re watching “Killers of the Flower Moon,” which tells the story of the Osage Nation of Oklahoma in the early 20…",
Scorsese,Twelve Celebrities You Didn't Know Are the Same Age as Joe Biden,The president turns 81 on November 20.,
Production,How the ‘Killers of the Flower Moon’ Osage Clothing Consultant Is Paying It Forward,"""I stumbled into a mission of wanting to showcase Native artisans,"" said Julie O'Keefe, who has opened a retail store.",
Movie Review,Killers Of The Flower Moon Is The Good Version Of Gangs Of New York,"Though longer and more epic, Martin Scorsese&amp;#39;s Killers of the Flower Moon plays out like a much more streamlined and powerful version of his Gangs of New York.",
Actors,Martin Scorsese Defends Brendan Fraser’s ‘Killers of the Flower Moon’ Performance: ‘He’s a Wonderful Actor’,Fraser plays lawyer W.S. Hamilton in Scorsese's Western film.,
Production,‘Killers of the Flower Moon’ Initially Had a Very Different Opening Scene,Martin Scorsese told IndieWire why he and screenwriter Eric Roth changed the beginning of their Western epic.,
Themes Covered,Lily Gladstone Warns of ‘Killers of the Flower Moon’ Triggers: Native Audiences Will Feel ‘Generational Grief’ Onscreen,"""Never forget this story is recent history with a lasting impact on breathing, feeling people today,"" Gladstone wrote on social media.",
Financial Performance,‘Killers Of The Flower Moon’ Crosses $100M Global Box Office,"Martin Scorsese’s Killers of the Flower Moon, from Apple, Paramount and Imperative Entertainment, has set a milestone, crossing the $100M mark at the global box office through Thursday. As it heads into its third frame, the epic western crime saga is at $102.…",
Themes Covered,‘Killers Of The Flower Moon’ Star Lily Gladstone Warns Indigenous Viewers Of Film’s Traumatic Impact,Killers of the Flower Moon star Lily Gladstone is encouraging Indigenous viewers to watch the Martin Scorsese film “when and only if you feel ready.” The film looks at 1920s Oklahoma and the murder of dozens of the Osage people in an attempt to steal their we…,
Movie Review,The Current Debate: “Killers of the Flower Moon” and the Pain of Perspective,,
Movie Review,‘Killers Of The Flower Moon’ Set To Receive Palm Springs International Film Festival’s Vanguard Award,"With the SAG strike behind us, the all-important film festivals that occur right in the heart of awards season are starting to take shape. A key stop is always the Palm Springs International Film Festival gala, which has just announced its first award, the Va…",
Production,How Robbie Robertson Avoided “Movie Music” In His Score For ‘Killers Of The Flower Moon’ – Sound & Screen Film,"Scoring Killers of the Flower Moon was a daunting prospect for Robbie Robertson. The Band co-founder, who died in August at 80, had a vision he wanted to achieve but was “terrified of delivering something ordinary,” explained orchestrator-conductor Mark Graha…",
